,titles,publishers,authors,years
0,North Korea's hidden revolution : how the information underground is transforming a closed society,New Haven : Yale University Press 2016,Jieun Baek,2016
1,Reputation management : the key to successful public relations and corporate communication,2nd ed New York : Routledge 2011,John Doorley and Helio Fred Garcia,2011
2,Media and cultural studies : keyworks,2nd ed Malden : Wiley-Blackwell 2012,edited by Meenakshi Gigi Durham and Douglas M. Kellner,2012
3,媒介文化論 : 給媒介學習者的15講,1版 台北市 : 群學出版有限公司 2009,吉見俊哉 ; 蘇碩斌譯,2009
4,Social media campaigns : strategies for public relations and marketing,"New York : Routledge, Taylor & Francis Group 2016",Carolyn Mae Kim,2016
5,Ethical practice of social media in public relations,New York : Routledge 2014,edited by Marcia W. DiStaso and Denise Sevick Bortree,2014
6,Corporate communication : a guide to theory & practice,4th edition Los Angeles : SAGE 2014,Joep Cornelissen,2014
7,Corporate communication,6th ed Boston : McGraw-Hill Irwin c2013,Paul A. Argenti,2013
8,How to deliver a TED talk : secrets of the world's most inspiring presentations,Revised and expanded new edition New York : McGraw-Hill Education 2014,Jeremey Donovan ; foreword by Richard St. John ; afterword by Simon Sinek,2014
9,Introduction to communication disorders : a life span perspective,2nd ed Boston : Allyn and Bacon c2003,"Robert E. Owens Jr., Dale E. Metz, Adelaide Haas",2003
